S,Cluster_size,Clusters
1000,1,63553.480
1000,2,965.500
1000,3,16.580
1000,4,0.420
1000,5,0.020
2000,1,61604.160
2000,2,1866.700
2000,3,62.240
2000,4,2.775
2000,5,0.100
2000,6,0.020
5000,1,55960.065
5000,2,4197.7575
5000,3,337.850
5000,4,35.080
5000,5,4.540
5000,6,0.570
5000,7,0.050
5000,8,0.010
10000,1,47218.330
10000,2,6987.660
10000,3,1058.540
10000,4,210.210
10000,5,46.740
10000,6,10.820
10000,7,2.790
10000,8,0.720
10000,9,0.130
10000,10,0.070
10000,11,0.010
15000,1,39309.330
15000,2,8613.150
15000,3,1842.290
15000,4,517.240
15000,5,167.730
15000,6,55.650
15000,7,19.330
15000,8,7.250
15000,9,2.550
15000,10,1.020
15000,11,0.310
15000,12,0.110
15000,13,0.050
15000,15,0.010
20000,1,32185.570
20000,2,9340.620
20000,3,2496.120
20000,4,888.700
20000,5,349.780
20000,6,153.490
20000,7,66.71285
20000,8,30.100
20000,9,14.240
20000,10,6.110
20000,11,2.840
20000,12,1.490
20000,13,0.620
20000,14,0.310
20000,15,0.200
20000,16,0.080
20000,17,0.020
30000,1,20123.180
30000,2,8931.910
30000,3,3166.700
30000,4,1440.420
30000,5,771.390
30000,6,429.710
30000,7,254.870
30000,8,156.600
30000,9,96.530
30000,10,59.350
30000,11,37.650
30000,12,24.230
30000,13,12.7538
30000,14,10.390
30000,15,6.420
30000,16,4.310
30000,17,2.560
30000,18,1.850
30000,19,1.620
30000,20,0.840
30000,21,0.700
30000,22,0.540
30000,23,0.240
30000,24,0.170
30000,25,0.160
30000,26,0.100
30000,27,0.060
30000,28,0.040
30000,29,0.020
30000,30,0.010
30000,31,0.020
32768,1,17256.550
32768,2,8528.420
32768,3,3185.290
32768,4,1527.800
32768,5,847.290
32768,6,503.180
32768,7,314.180
32768,8,201.920
32768,9,131.800
32768,10,88.420
32768,11,56.045
32768,12,36.994
32768,13,27.270
32768,14,18.300
32768,15,12.280
32768,16,9.180
32768,17,5.670
32768,18,4.540
32768,19,2.850
32768,20,1.750
32768,21,1.680
32768,22,1.150
32768,23,1.010
32768,24,0.490
32768,25,0.540
32768,26,0.280
32768,27,0.280
32768,28,0.220
32768,29,0.100
32768,30,0.090
32768,31,0.090
32768,32,0.060
32768,33,0.050
32768,34,0.040
32768,35,0.030
32768,36,0.030
35000,1,15081.940
35000,2,8128.210
35000,3,3153.850
35000,4,1580.970
35000,5,916.790
35000,6,540.430
35000,7,352.990
35000,8,237.990
35000,9,161.680
35000,10,111.650
35000,11,75.5963
35000,12,51.4591
35000,13,39.090
35000,14,28.370
35000,15,20.570
35000,16,13.280
35000,17,10.450
35000,18,6.780
35000,19,5.630
35000,20,4.020
35000,21,2.570
35000,22,2.050
35000,23,1.730
35000,24,1.360
35000,25,0.850
35000,26,0.870
35000,27,0.480
35000,28,0.540
35000,29,0.230
35000,30,0.170
35000,31,0.200
35000,32,0.090
35000,33,0.070
35000,34,0.090
35000,35,0.040
35000,36,0.050
35000,37,0.040
35000,38,0.030
35000,40,0.020
35000,41,0.010
