S,Cluster_size,ClusterProbability
1000,1,0.969749
1000,2,0.0294647
1000,3,0.000758972
1000,4,2.56348e-05
1000,5,1.52588e-06
2000,1,0.940005
2000,2,0.0569672
2000,3,0.00284912
2000,4,0.000169373
2000,5,7.62939e-06
2000,6,1.83105e-06
5000,1,0.853883
5000,2,0.128105
5000,3,0.0154655
5000,4,0.00214111
5000,5,0.000346375
5000,6,5.21851e-05
5000,7,5.34058e-06
5000,8,1.2207e-06
10000,1,0.720495
10000,2,0.213246
10000,3,0.0484561
10000,4,0.0128302
10000,5,0.00356598
10000,6,0.000990601
10000,7,0.000298004
10000,8,8.78906e-05
10000,9,1.78528e-05
10000,10,1.06812e-05
10000,11,1.67847e-06
15000,1,0.599813
15000,2,0.262852
15000,3,0.0843333
15000,4,0.0315698
15000,5,0.0127968
15000,6,0.00509491
15000,7,0.00206467
15000,8,0.00088501
15000,9,0.000350189
15000,10,0.00015564
15000,11,5.20325e-05
15000,12,2.01416e-05
15000,13,9.91821e-06
15000,15,2.28882e-06
20000,1,0.491113
20000,2,0.285053
20000,3,0.114263
20000,4,0.0542419
20000,5,0.0266861
20000,6,0.0140524
20000,7,0.0071257
20000,8,0.00367432
20000,9,0.00195557
20000,10,0.000932312
20000,11,0.000476685
20000,12,0.000272827
20000,13,0.000122986
20000,14,6.62231e-05
20000,15,4.57764e-05
20000,16,1.95313e-05
20000,17,5.18799e-06
30000,1,0.307055
30000,2,0.27258
30000,3,0.14496
30000,4,0.0879163
30000,5,0.0588524
30000,6,0.0393411
30000,7,0.0272231
30000,8,0.0191162
30000,9,0.0132564
30000,10,0.00905609
30000,11,0.00631943
30000,12,0.00443665
30000,13,0.0025299
30000,14,0.00221954
30000,15,0.00146942
30000,16,0.00105225
30000,17,0.000664063
30000,18,0.000508118
30000,19,0.000469666
30000,20,0.000256348
30000,21,0.000224304
30000,22,0.000181274
30000,23,8.42285e-05
30000,24,6.22559e-05
30000,25,6.10352e-05
30000,26,3.96729e-05
30000,27,2.47192e-05
30000,28,1.70898e-05
30000,29,8.8501e-06
30000,30,4.57764e-06
30000,31,9.46045e-06
32768,1,0.263314
32768,2,0.260267
32768,3,0.145811
32768,4,0.0932495
32768,5,0.0646431
32768,6,0.0460675
32768,7,0.033558
32768,8,0.0246484
32768,9,0.0181
32768,10,0.0134918
32768,11,0.00940697
32768,12,0.0067738
32768,13,0.00540939
32768,14,0.0039093
32768,15,0.00281067
32768,16,0.00224121
32768,17,0.00147079
32768,18,0.00124695
32768,19,0.000826263
32768,20,0.000534058
32768,21,0.00053833
32768,22,0.000386047
32768,23,0.000354462
32768,24,0.000179443
32768,25,0.000205994
32768,26,0.000111084
32768,27,0.000115356
32768,28,9.39941e-05
32768,29,4.42505e-05
32768,30,4.11987e-05
32768,31,4.2572e-05
32768,32,2.92969e-05
32768,33,2.5177e-05
32768,34,2.0752e-05
32768,35,1.60217e-05
32768,36,1.64795e-05
35000,1,0.230132
35000,2,0.248053
35000,3,0.144372
35000,4,0.0964948
35000,5,0.0699455
35000,6,0.0494778
35000,7,0.0377034
35000,8,0.0290515
35000,9,0.0222034
35000,10,0.0170364
35000,11,0.0126886
35000,12,0.00942244
35000,13,0.00775406
35000,14,0.00606049
35000,15,0.0047081
35000,16,0.00324219
35000,17,0.00271072
35000,18,0.00186218
35000,19,0.00163223
35000,20,0.00122681
35000,21,0.000823517
35000,22,0.000688171
35000,23,0.000607147
35000,24,0.000498047
35000,25,0.000324249
35000,26,0.000345154
35000,27,0.000197754
35000,28,0.000230713
35000,29,0.000101776
35000,30,7.78198e-05
35000,31,9.46045e-05
35000,32,4.39453e-05
35000,33,3.52478e-05
35000,34,4.66919e-05
35000,35,2.13623e-05
35000,36,2.74658e-05
35000,37,2.2583e-05
35000,38,1.7395e-05
35000,40,1.2207e-05
35000,41,6.2561e-06
