S,Cluster_size_B4,Cluster_Prob_B4
6554,1,0.812987
6554,2,0.152125
6554,3,0.0277753
6554,4,0.00552246
6554,5,0.0012619
6554,6,0.00026001
6554,7,5.76782e-05
6554,8,7.32422e-06
6554,9,2.74658e-06
13107,1,0.650911
13107,2,0.227308
13107,3,0.075607
13107,4,0.0275354
13107,5,0.0107971
13107,6,0.00451172
13107,7,0.00200378
13107,8,0.000744629
13107,9,0.000379028
13107,10,0.000125122
13107,11,4.69971e-05
13107,12,2.19727e-05
13107,13,3.96729e-06
13107,14,4.27246e-06
19661,1,0.511534
19661,2,0.251365
19661,3,0.112412
19661,4,0.0545947
19661,5,0.0295059
19661,6,0.0172064
19661,7,0.00975616
19661,8,0.00577393
19661,9,0.0032959
19661,10,0.00203552
19661,11,0.00108429
19661,12,0.000615234
19661,13,0.00032135
19661,14,0.000230713
19661,15,0.000132751
19661,16,6.34766e-05
19661,17,2.59399e-05
19661,18,2.19727e-05
19661,20,1.2207e-05
19661,21,1.28174e-05
26214,1,0.392706
26214,2,0.242648
26214,3,0.130564
26214,4,0.0746277
26214,5,0.0463486
26214,6,0.0322192
26214,7,0.022941
26214,8,0.0168164
26214,9,0.0117828
26214,10,0.00871582
26214,11,0.00625061
26214,12,0.00424805
26214,13,0.00309448
26214,14,0.00217896
26214,15,0.00146027
26214,16,0.000966797
26214,17,0.000762634
26214,18,0.000516357
26214,19,0.000237732
26214,20,0.000219727
26214,21,0.000230713
26214,22,0.000147705
26214,23,0.000119324
26214,24,4.39453e-05
26214,25,6.10352e-05
26214,26,7.93457e-06
26214,27,8.23975e-06
26214,28,8.54492e-06
26214,29,1.77002e-05
26214,30,1.83105e-05
26214,31,9.46045e-06
26214,33,1.00708e-05
26214,36,1.09863e-05
32768,1,0.290809
32768,2,0.217771
32768,3,0.131568
32768,4,0.0812781
32768,5,0.0546783
32768,6,0.0410046
32768,7,0.0330774
32768,8,0.027124
32768,9,0.0226648
32768,10,0.0184418
32768,11,0.0152405
32768,12,0.0125391
32768,13,0.0101324
32768,14,0.0080365
32768,15,0.00691681
32768,16,0.0055127
32768,17,0.00449799
32768,18,0.00382324
32768,19,0.00298615
32768,20,0.00241089
32768,21,0.00185852
32768,22,0.00157776
32768,23,0.00129852
32768,24,0.000820313
32768,25,0.000740051
32768,26,0.000674438
32768,27,0.000527344
32768,28,0.000316162
32768,29,0.000274353
32768,30,0.000265503
32768,31,0.000264893
32768,32,0.000195313
32768,33,0.00013092
32768,34,8.30078e-05
32768,35,4.27246e-05
32768,36,5.49316e-05
32768,37,3.38745e-05
32768,38,4.63867e-05
32768,39,5.95093e-05
32768,40,4.88281e-05
32768,41,1.25122e-05
32768,43,1.31226e-05
32768,45,1.37329e-05
32768,46,2.80762e-05
32768,47,1.43433e-05
32768,48,1.46484e-05
32768,49,2.99072e-05
32768,50,1.52588e-05
32768,52,1.58691e-05
32768,53,1.61743e-05
39321,1,0.199155
39321,2,0.191902
39321,3,0.121561
39321,4,0.0798071
39321,5,0.054509
39321,6,0.0413745
39321,7,0.0338699
39321,8,0.0292847
39321,9,0.0258728
39321,10,0.023056
39321,11,0.0213065
39321,12,0.0189001
39321,13,0.0165872
39321,14,0.0154407
39321,15,0.0138931
39321,16,0.0124854
39321,17,0.011647
39321,18,0.0094812
39321,19,0.00855255
39321,20,0.00811768
39321,21,0.00676758
39321,22,0.00629089
39321,23,0.00565033
39321,24,0.00522217
39321,25,0.00440216
39321,26,0.00384827
39321,27,0.00302399
39321,28,0.00287964
39321,29,0.00261963
39321,30,0.00265503
39321,31,0.00206238
39321,32,0.00181641
39321,33,0.00160126
39321,34,0.00149414
39321,35,0.00117493
39321,36,0.00102173
39321,37,0.00109528
39321,38,0.0010321
39321,39,0.000809326
39321,40,0.000854492
39321,41,0.000450439
39321,42,0.000692139
39321,43,0.000446167
39321,44,0.000375977
39321,45,0.000521851
39321,46,0.000336914
39321,47,0.000473328
39321,48,0.000322266
39321,49,0.00037384
39321,50,0.000244141
39321,51,0.000295715
39321,52,0.000238037
39321,53,0.000145569
39321,54,0.000164795
39321,55,0.000201416
39321,56,0.000170898
39321,57,0.000121765
39321,58,0.000141602
39321,59,0.000108032
39321,60,0.000109863
39321,61,0.000167542
39321,62,3.78418e-05
39321,63,3.84521e-05
39321,64,9.76563e-05
39321,65,0.000119019
39321,66,6.04248e-05
39321,67,0.000102234
39321,69,2.10571e-05
39321,70,4.27246e-05
39321,71,4.3335e-05
39321,72,2.19727e-05
39321,74,6.7749e-05
39321,75,2.28882e-05
39321,77,2.34985e-05
39321,78,2.38037e-05
39321,80,2.44141e-05
39321,85,2.59399e-05
45875,1,0.0976743
45875,2,0.177137
45875,3,0.106374
45875,4,0.0735791
45875,5,0.0533691
45875,6,0.0409424
45875,7,0.0321823
45875,8,0.0268604
45875,9,0.0234805
45875,10,0.0211792
45875,11,0.0193594
45875,12,0.0178308
45875,13,0.0163293
45875,14,0.0158551
45875,15,0.0145248
45875,16,0.0142041
45875,17,0.0136548
45875,18,0.0126068
45875,19,0.0119446
45875,20,0.0115662
45875,21,0.010459
45875,22,0.00966797
45875,23,0.00949677
45875,24,0.00971924
45875,25,0.00844574
45875,26,0.0079425
45875,27,0.00737457
45875,28,0.00621216
45875,29,0.00592957
45875,30,0.00636292
45875,31,0.00580872
45875,32,0.00586914
45875,33,0.00559937
45875,34,0.00442017
45875,35,0.00405884
45875,36,0.00471313
45875,37,0.00452789
45875,38,0.00396606
45875,39,0.00367767
45875,40,0.00380859
45875,41,0.00330322
45875,42,0.00288391
45875,43,0.00269012
45875,44,0.00269897
45875,45,0.00263672
45875,46,0.00256897
45875,47,0.00225189
45875,48,0.00212402
45875,49,0.00209351
45875,50,0.00210571
45875,51,0.00197662
45875,52,0.00192017
45875,53,0.00139099
45875,54,0.00138428
45875,55,0.00147705
45875,56,0.00128174
45875,57,0.00201782
45875,58,0.00157532
45875,59,0.00109833
45875,60,0.00124512
45875,61,0.00117279
45875,62,0.000889282
45875,63,0.00109589
45875,64,0.00123047
45875,65,0.000912476
45875,66,0.00100708
45875,67,0.000940552
45875,68,0.000643311
45875,69,0.000968628
45875,70,0.00083313
45875,71,0.000780029
45875,72,0.000944824
45875,73,0.000846558
45875,74,0.000858154
45875,75,0.000617981
45875,76,0.000510254
45875,77,0.000916443
45875,78,0.0006427
45875,79,0.000771484
45875,80,0.000708008
45875,81,0.000346069
45875,82,0.000500488
45875,83,0.000455933
45875,84,0.000487061
45875,85,0.000466919
45875,86,0.000393677
45875,87,0.000371704
45875,88,0.000510254
45875,89,0.000380249
45875,90,0.000439453
45875,91,0.000527649
45875,92,0.000393066
45875,93,0.000283813
45875,94,0.000172119
45875,95,0.000463867
45875,96,0.000263672
45875,97,0.000207214
45875,98,0.000209351
45875,99,0.000362549
45875,100,0.000213623
45875,101,0.000215759
45875,102,0.000404663
45875,103,0.000157166
45875,104,0.000285645
45875,105,6.40869e-05
45875,106,0.000323486
45875,107,0.000130615
45875,108,9.8877e-05
45875,109,0.000133057
45875,110,6.71387e-05
45875,111,0.000304871
45875,112,0.000102539
45875,113,0.000137939
45875,114,0.00024353
45875,116,0.000141602
45875,117,0.000107117
45875,118,0.000180054
45875,119,0.000145264
45875,120,0.000219727
45875,121,0.000258484
45875,122,0.000148926
45875,123,7.50732e-05
45875,124,0.000189209
45875,125,0.000114441
45875,126,0.000115356
45875,127,0.000193787
45875,128,3.90625e-05
45875,129,7.87354e-05
45875,130,3.96729e-05
45875,131,3.9978e-05
45875,132,4.02832e-05
45875,133,4.05884e-05
45875,134,8.17871e-05
45875,135,8.23975e-05
45875,137,4.18091e-05
45875,139,8.48389e-05
45875,141,8.60596e-05
45875,143,4.36401e-05
45875,146,4.45557e-05
45875,147,0.000134583
45875,148,4.5166e-05
45875,152,4.63867e-05
45875,153,4.66919e-05
45875,154,4.69971e-05
45875,155,4.73022e-05
45875,160,4.88281e-05
45875,168,5.12695e-05
45875,175,5.34058e-05
49152,1,0.018616
49152,2,0.176846
49152,3,0.0966458
49152,4,0.0688281
49152,5,0.0518738
49152,6,0.0411621
49152,7,0.0332761
49152,8,0.0276123
49152,9,0.023107
49152,10,0.0212006
49152,11,0.018688
49152,12,0.0164209
49152,13,0.0149844
49152,14,0.0142828
49152,15,0.0138474
49152,16,0.0131006
49152,17,0.0123007
49152,18,0.0117499
49152,19,0.0115445
49152,20,0.0108826
49152,21,0.00998474
49152,22,0.00980225
49152,23,0.00941254
49152,24,0.0089502
49152,25,0.00894165
49152,26,0.00829956
49152,27,0.00837982
49152,28,0.00775024
49152,29,0.00754028
49152,30,0.00743408
49152,31,0.0068399
49152,32,0.00615234
49152,33,0.00655609
49152,34,0.00590393
49152,35,0.00604553
49152,36,0.00515259
49152,37,0.00560059
49152,38,0.00475464
49152,39,0.00409424
49152,40,0.00465088
49152,41,0.00366608
49152,42,0.00387085
49152,43,0.00443542
49152,44,0.00373291
49152,45,0.00416107
49152,46,0.00377625
49152,47,0.00331329
49152,48,0.0037793
49152,49,0.00302063
49152,50,0.00326538
49152,51,0.00300385
49152,52,0.00263428
49152,53,0.0035907
49152,54,0.00210938
49152,55,0.00245056
49152,56,0.00240967
49152,57,0.00227875
49152,58,0.00265503
49152,59,0.00250275
49152,60,0.00203247
49152,61,0.00193604
49152,62,0.00149475
49152,63,0.00236481
49152,64,0.00240234
49152,65,0.00144806
49152,66,0.0017926
49152,67,0.00184021
49152,68,0.00166016
49152,69,0.00231628
