S,Linear_ProbesC_B0,Random_ProbesC_B0,Total_ProbesC_B0
1000,0.0,3.705,3.705
2000,0.0,14.265,14.265
5000,0.0,93.435,93.435
10000,0.0,408.815,408.815
15000,0.0,1013.3475,1013.3475
20000,0.0,1988.9675,1988.9675
30000,0.0,5563.2675,5563.2675
32768,0.0,7097.03,7097.03
35000,0.0,8598.2275,8598.2275
39321,0.0,9057.73125,9057.73125
40000,0.0,12923.01,12923.01
45000,0.0,19251.265,19251.265
49152,0.0,27055.31,27055.31
50000,0.0,29082.5475,29082.5475
55000,0.0,45936.2375,45936.2375
60000,0.0,84529.315,84529.315
65530,0.0,3712759.6575,3712759.6575
65536,0.0,3986746.01,3986746.01
