S,Linear_ProbesC_B15,Random_ProbesC_B15,Total_ProbesC_B15
1000,3.6775,0.0,3.6775
2000,14.225,0.0,14.225
5000,95.9525,0.0,95.9525
10000,431.9125,0.0,431.9125
15000,1106.4675,0.0,1106.4675
20000,2301.1875,0.0125,2301.2
30000,7756.39,4.9325,7761.3225
32768,10675.2675,15.09,10690.3575
35000,13878.535,35.0825,13913.6175
39321,23573.7,145.54,23719.24
40000,25726.8525,180.49,25907.3425
45000,51417.0225,746.8925,52163.915
49152,101992.4975,2251.7875,104244.285
50000,118029.025,2799.3075,120828.3325
55000,250993.165,8507.775,259500.94
60000,409514.75,16950.84,426465.59
65530,1248669.57,63348.095,1312017.665
65536,1451133.3575,75971.665,1527105.0225
