S,Linear_ProbesC_B5,Random_ProbesC_B5,Total_ProbesC_B5
1000,3.525,0,3.525
2000,14.1075,0,14.1075
5000,96.1,0,96.1
10000,429.355,0.0675,429.423
15000,1108.08,1.32,1109.4
20000,2287.07,9.3575,2296.42
30000,7450.12,139.435,7589.56
32768,10026.6,251.645,10278.3
35000,12730.4,392.69,13123.1
39321,20074.1,875.93,20950
40000,21596.6,990.862,22587.4
45000,36920.2,2310.35,39230.6
49152,57926.4,4462.61,62389
50000,63483.7,5084.72,68568.4
55000,106830,10284.5,117114
60000,173611,18927.1,192538
65530,777631,114623,892254
65536,973432,147256,1120690
