S,Linear_Probes_B1,Random_Probes_B1,Total_Probes_B1
1000,3.4825,0.03,3.5125
2000,14.2825,0.2525,14.535
5000,95.42,4.475,99.895
10000,424.09,37.375,461.465
15000,1063.28,136.105,1199.39
20000,2133.33,352.445,2485.77
30000,6250.63,1456.89,7707.52
32768,8086.62,2023.78,10110.4
35000,9846.69,2592.95,12439.6
39321,14261.6,4105.01,18366.6
40000,15091.6,4399.42,19491
45000,22790.7,7229.4,30020.1
49152,31939.4,10767.6,42707
50000,34210.9,11674.3,45885.2
55000,52376.8,19180.1,71556.8
60000,86892.1,34626.3,121518
65530,968132,475376,1443510
65536,1130960,554846,1685800
