S,Linear_ProbesC_B800,Random_ProbesC_B800,Total_ProbesC_B800
1000,3.6375,0.0,3.6375
2000,14.4425,0.0,14.4425
5000,95.1425,0.0,95.1425
10000,431.0925,0.0,431.0925
15000,1103.6025,0.0,1103.6025
20000,2289.015,0.0,2289.015
30000,7746.7625,0.0,7746.7625
32768,10718.2575,0.0,10718.2575
35000,14072.6875,0.0,14072.6875
39321,24923.135,0.0,24923.135
40000,27570.51,0.0,27570.51
45000,69749.025,0.0,69749.025
49152,395110.1125,63.345,395173.4575
50000,906322.695,299.725,906622.42
55000,7591634.9125,8062.6325,7599697.545
60000,14563553.3725,16720.47,14580273.8425
65530,48817361.1625,59041.575,48876402.7375
65536,68636665.4225,84129.3725,68720794.795
