S,Linear_ProbesS_B9,Random_ProbesS_B9,Total_ProbesS_B9
1000,0.3475,0.0,0.3475
2000,2.6225,0.0,2.6225
5000,44.6825,0.0,44.6825
10000,404.445,0.0,404.445
15000,1541.63,0.0925,1541.7225
20000,4119.5,1.88,4121.38
30000,18427.0025,97.3,18524.3025
32768,26331.7675,219.8375,26551.605
35000,34737.27,403.9625,35141.2325
39321,58105.9025,1127.855,59233.7575
40000,62908.575,1310.4775,64219.0525
45000,112530.3575,3696.45,116226.8075
49152,183959.9975,8162.635,192122.6325
50000,203639.945,9522.585,213162.53
55000,392985.355,24407.3725,417392.7275
60000,929815.68,73128.49,1002944.17
65000,10971361.2625,1070205.33,12041566.5925
